fecha,anio,mes,iee_global,comercio,construccion,manufactura,servicios
2016-06-01,2016,6,49.6,46.3,48.4,49.2,51.8
2016-07-01,2016,7,52.4,56.4,49.8,50.4,51.6
2016-08-01,2016,8,51.7,57.7,51.7,53.7,47.7
2016-09-01,2016,9,53.5,54.4,49.6,51.2,54.7
2016-10-01,2016,10,55.6,55.3,47.5,56.1,57.1
2016-11-01,2016,11,51.2,60.4,44.6,51.0,47.7
2016-12-01,2016,12,52.4,54.7,45.8,51.3,53.0
2017-01-01,2017,1,45.6,45.8,41.1,49.6,44.5
2017-02-01,2017,2,46.5,48.1,50.0,52.3,42.5
2017-03-01,2017,3,57.5,63.0,47.8,58.5,55.9
2017-04-01,2017,4,50.4,55.3,41.9,49.5,49.8
2017-05-01,2017,5,58.3,58.9,47.0,55.7,61.3
2017-06-01,2017,6,54.4,57.3,52.3,53.9,53.5
2017-07-01,2017,7,53.2,53.0,43.4,50.0,56.7
2017-08-01,2017,8,52.7,58.0,48.4,54.0,50.0
2017-09-01,2017,9,54.6,56.4,37.0,53.3,57.6
2017-10-01,2017,10,54.9,58.4,45.1,58.0,53.6
2017-11-01,2017,11,54.9,60.6,50.7,50.4,54.7
2017-12-01,2017,12,52.1,47.5,47.5,48.1,57.4
2018-01-01,2018,1,46.2,44.9,54.6,51.9,42.6
2018-02-01,2018,2,50.9,50.8,50.5,51.2,51.0
2018-03-01,2018,3,59.1,62.0,42.6,58.3,61.1
2018-04-01,2018,4,54.7,56.3,43.7,52.7,56.8
2018-05-01,2018,5,53.4,56.8,50.8,53.7,51.9
2018-06-01,2018,6,49.4,52.5,48.8,48.1,48.4
2018-07-01,2018,7,53.3,53.6,43.6,52.1,55.6
2018-08-01,2018,8,51.1,57.1,48.3,57.2,45.8
2018-09-01,2018,9,53.4,48.9,47.1,50.8,58.2
2018-10-01,2018,10,54.1,55.6,48.6,57.7,52.7
2018-11-01,2018,11,53.5,59.9,55.8,46.0,53.0
2018-12-01,2018,12,50.1,48.6,41.2,46.4,54.2
2019-01-01,2019,1,48.0,43.6,48.8,52.0,48.3
2019-02-01,2019,2,52.8,52.8,51.6,48.9,54.7
2019-03-01,2019,3,60.0,60.5,49.7,58.9,62.3
2019-04-01,2019,4,58.2,63.0,45.7,55.2,59.4
2019-05-01,2019,5,53.1,55.0,51.9,53.9,52.0
2019-06-01,2019,6,50.0,50.0,50.0,47.6,51.1
2019-07-01,2019,7,58.6,66.4,49.2,55.3,57.8
2019-08-01,2019,8,57.3,65.4,49.5,52.1,56.9
2019-09-01,2019,9,47.4,46.7,46.8,49.5,46.9
2019-10-01,2019,10,48.9,49.6,47.8,54.2,46.3
2019-11-01,2019,11,57.3,59.3,51.2,48.6,61.2
2019-12-01,2019,12,52.8,53.4,48.5,48.8,55.2
2020-01-01,2020,1,48.4,43.9,49.8,53.2,48.4
2020-02-01,2020,2,51.0,48.3,50.1,52.2,52.1
2020-03-01,2020,3,35.3,36.4,38.7,40.6,31.7
2020-04-01,2020,4,42.5,42.9,43.8,47.6,39.7
2020-05-01,2020,5,54.6,51.8,53.7,56.6,55.2
2020-06-01,2020,6,57.6,58.3,53.1,55.2,59.1
2020-07-01,2020,7,56.6,60.4,51.3,56.0,55.9
2020-08-01,2020,8,57.2,57.4,47.3,49.1,62.6
2020-09-01,2020,9,60.1,62.1,52.5,59.1,61.0
2020-10-01,2020,10,57.9,63.0,48.5,57.3,57.4
2020-11-01,2020,11,51.6,55.0,50.7,46.3,52.5
2020-12-01,2020,12,48.5,51.1,45.1,49.8,47.1
2021-01-01,2021,1,41.5,37.7,44.3,44.0,41.8
2021-02-01,2021,2,50.4,52.0,49.2,51.2,49.4
2021-03-01,2021,3,58.0,62.1,44.6,60.6,57.2
2021-04-01,2021,4,53.3,54.0,54.8,52.4,53.0
2021-05-01,2021,5,53.2,53.8,48.4,54.1,53.3
2021-06-01,2021,6,58.0,60.0,50.2,57.3,58.7
2021-07-01,2021,7,54.6,57.0,50.9,52.8,54.8
2021-08-01,2021,8,56.1,63.7,47.9,57.2,53.1
2021-09-01,2021,9,53.9,54.3,51.4,56.7,52.9
2021-10-01,2021,10,53.8,58.2,50.8,53.7,52.2
2021-11-01,2021,11,53.9,59.3,57.0,49.7,52.3
2021-12-01,2021,12,53.1,48.8,47.7,53.6,56.1
2022-01-01,2022,1,49.5,47.7,41.1,48.8,52.4
2022-02-01,2022,2,55.2,55.1,52.3,55.8,55.5
2022-03-01,2022,3,57.6,60.4,52.4,58.3,56.7
2022-04-01,2022,4,57.5,57.1,45.8,45.3,65.6
2022-05-01,2022,5,57.1,54.7,51.2,50.6,62.5
2022-06-01,2022,6,49.0,46.7,58.0,48.2,48.8
2022-07-01,2022,7,59.3,57.6,54.3,58.4,61.5
2022-08-01,2022,8,57.2,57.4,54.7,53.0,59.4
2022-09-01,2022,9,52.4,54.5,54.0,48.4,52.9
2022-10-01,2022,10,56.1,57.0,57.8,48.8,58.6
2022-11-01,2022,11,52.6,53.6,51.7,44.6,55.8
2022-12-01,2022,12,52.5,50.9,56.4,46.6,55.4
2023-01-01,2023,1,46.9,42.9,53.2,46.3,48.0
2023-02-01,2023,2,52.2,52.2,58.7,45.3,54.1
2023-03-01,2023,3,61.4,65.7,46.9,58.2,63.2
2023-04-01,2023,4,50.9,55.3,44.6,42.8,53.5
2023-05-01,2023,5,58.8,59.7,51.7,53.6,62.1
2023-06-01,2023,6,51.0,51.0,56.2,48.0,51.3
2023-07-01,2023,7,54.9,55.4,51.4,49.6,57.8
2023-08-01,2023,8,52.7,52.5,52.1,51.0,53.6
2023-09-01,2023,9,51.5,53.7,52.5,47.0,52.1
2023-10-01,2023,10,56.7,53.9,53.6,55.0,59.6
2023-11-01,2023,11,55.3,56.4,51.0,47.3,59.1
2023-12-01,2023,12,50.7,45.4,53.0,46.5,55.1
2024-01-01,2024,1,44.8,46.2,43.7,45.8,43.9
2024-02-01,2024,2,53.0,51.5,49.1,54.2,54.0
2024-03-01,2024,3,60.6,62.4,61.3,58.4,60.5
2024-04-01,2024,4,51.3,47.1,50.4,54.4,52.3
2024-05-01,2024,5,54.6,58.0,48.3,54.2,54.2
2024-06-01,2024,6,51.6,50.3,43.7,43.3,57.5
2024-07-01,2024,7,57.5,54.3,57.0,53.6,61.0
2024-08-01,2024,8,58.8,57.6,50.0,52.2,64.1
2024-09-01,2024,9,50.0,47.9,49.8,48.0,49.5
2024-10-01,2024,10,56.3,56.9,54.7,50.5,58.8
2024-11-01,2024,11,54.7,60.0,45.1,50.1,55.8
2024-12-01,2024,12,55.1,60.2,43.3,50.2,56.9
2025-01-01,2025,1,49.6,44.8,45.5,50.6,52.5
2025-02-01,2025,2,49.7,46.5,55.1,52.9,49.0
2025-03-01,2025,3,59.9,62.0,43.7,57.1,63.1
2025-04-01,2025,4,55.2,53.8,61.7,55.9,54.4
2025-05-01,2025,5,56.4,55.1,62.3,53.3,57.3
2025-06-01,2025,6,48.5,48.4,51.9,45.3,49.3
2025-07-01,2025,7,56.2,55.4,47.7,55.0,58.7
2025-08-01,2025,8,54.7,57.0,57.7,51.1,54.5
2025-09-01,2025,9,55.0,52.5,57.4,52.8,56.8
2025-10-01,2025,10,57.0,60.2,63.7,55.2,54.8
2025-11-01,2025,11,55.7,60.1,54.6,46.3,57.9
2025-12-01,2025,12,55.7,48.9,64.7,53.2,58.7
