anio,pib_real_musd,variacion_pib_pct,pib_percapita_nominal
2000,52158.03995407,0.0,1404.6
2001,54351.949235809996,4.20627248200249,1823.7
2002,57030.4656665354,4.9280963578777,2097.1
2003,58675.5100439129,2.88450104369864,2358.0
2004,62684.453826791396,6.83239699131424,2633.0
2005,66068.550034407,5.39862119077636,2960.7
2006,68936.6738678391,4.34113331068784,3298.4
2007,70248.1450951001,1.9024289303183801,3533.7
2008,74859.8810834904,6.56492208035824,4257.9
2009,75676.6114547341,1.09101211412934,4111.5
2010,78725.7261435126,4.0291374444035,4578.9
2011,85402.8305599708,8.481477076865861,5210.0
2012,90341.8572599477,5.78321194694902,5682.1
2013,96856.6218345491,7.21123604516563,6144.1
2014,100949.84611179901,4.22606549735141,6422.1
2015,101070.674666627,0.119691668171629,5975.1
2016,100375.354004134,-0.687954903622123,5907.9
2017,106368.164115476,5.97039997596955,6221.0
2018,107478.961000081,1.0442944971754,6293.5
2019,107656.73600000299,0.165404464528418,6199.0
2020,97703.7671816773,-9.245096208681069,5469.8
2021,106909.31128672899,9.421892697273961,6084.7
2022,113183.202468606,5.86842353239918,6555.5
