anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes
2023-2024 Inicio,17H03687,CECOMSYS,PICHINCHA,17,RUMIÑAHUI,1705,Educación General Básica y Bachillerato,Particular,6
2023-2024 Inicio,06H00116,COLEGIO DE BACHILLERATO DR EUGENIO ESPEJO PCEI,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Particular,4
2023-2024 Inicio,01H01615,COLEGIO DE BACHILLERATO PARTICULAR ATLÁNTICO PCEI,AZUAY,1,CUENCA,101,Bachillerato y Ofertas Intensivas,Particular,87
2023-2024 Inicio,01H02032,COLEGIO DE BACHILLERATO PARTICULAR NEUE SCHULE,AZUAY,1,CUENCA,101,Bachillerato,Particular,7
2023-2024 Inicio,11H01909,COLEGIO DE BACHILLERATO PARTICULAR PCEI DR JOSE MARIA VIVAR CASTRO,LOJA,11,LOJA,1101,Bachillerato,Particular,65
2023-2024 Inicio,11H00091,COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA,LOJA,11,LOJA,1101,Educación General Básica y Bachillerato,Particular,69
2023-2024 Inicio,08H02102,COLEGIO DE BACHILLERATO PARTICULAR PCEI PROVINCIA DE ESMERALDAS,ESMERALDAS,8,ESMERALDAS,801,Bachillerato y Ofertas Intensivas,Particular,82
2023-2024 Inicio,17H04359,COLEGIO DE BACHILLERATO PARTICULAR PCEI VALLE,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,1
2023-2024 Inicio,18H00993,COLEGIO DE BACHILLERATO PCEI AMÉRICA,TUNGURAHUA,18,AMBATO,1801,Educación General Básica y Bachillerato,Particular,62
2023-2024 Inicio,10H00080,COLEGIO DE BACHILLERATO PCEI AMERICANO,IMBABURA,10,IBARRA,1001,Bachillerato y Ofertas Intensivas,Particular,60
2023-2024 Inicio,05H00853,COLEGIO DE BACHILLERATO PCEI BUENAS NUEVAS,COTOPAXI,5,PUJILI,504,Educación General Básica y Bachillerato,Particular,11
2023-2024 Inicio,10H00084,COLEGIO DE BACHILLERATO PCEI MANUELA ESPEJO,IMBABURA,10,IBARRA,1001,Educación General Básica y Bachillerato,Particular,45
2023-2024 Inicio,06H01926,COLEGIO DE BACHILLERATO PCEI OXFORD,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Particular,8
2023-2024 Inicio,06H01452,COLEGIO DE BACHILLERATO PCEI SULTANA DE LOS ANDES,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Particular,23
2023-2024 Inicio,10H00786,COLEGIO DE BACHILLERATO PCEI TIERRA NUEVA,IMBABURA,10,IBARRA,1001,Educación General Básica y Bachillerato,Particular,61
2023-2024 Inicio,10H00115,COLEGIO DE BACHILLERATO PCEI VIEJO LUCHADOR,IMBABURA,10,IBARRA,1001,Educación General Básica y Bachillerato,Particular,44
2023-2024 Inicio,13H05184,COLEGIO PARTICULAR A DISTANCIA MANUELA SAENZ,MANABI,13,PORTOVIEJO,1301,Educación General Básica y Bachillerato,Particular,24
2023-2024 Inicio,17H02378,COLEGIO POPULAR PARTICULAR A DISTANCIA SIMON BOLIVAR,PICHINCHA,17,RUMIÑAHUI,1705,Educación General Básica y Bachillerato,Particular,35
2023-2024 Inicio,15H00274,CRISTOBAL COLON,NAPO,15,TENA,1501,Educación General Básica y Bachillerato,Particular,16
2023-2024 Inicio,17H02179,DON BOSCO CAYAMBE,PICHINCHA,17,CAYAMBE,1702,Educación General Básica y Bachillerato,Particular,28
2023-2024 Inicio,05H00846,EXTENSIÓN EDUCATIVA MORASPUNGO PERTENECIENTE A LA UE PCEI EL CORAZÓN,COTOPAXI,5,PANGUA,503,Educación General Básica y Bachillerato,Fiscomisional,23
2023-2024 Inicio,17H00044,INSTITUCIÓN EDUCATIVA PARTICULAR JERICO,PICHINCHA,17,QUITO,1701,Bachillerato y Ofertas Intensivas,Particular,11
2023-2024 Inicio,17H03444,Institución Educativa Particular para Personas con Escolaridad Inconclusa ISRAEL,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,31
2023-2024 Inicio,06H01036,JOSE MARIA VELAZ,CHIMBORAZO,6,GUANO,607,Educación General Básica y Bachillerato,Fiscomisional,5
2023-2024 Inicio,17H02180,PCEI OSWALDO GUAYASAMIN,PICHINCHA,17,CAYAMBE,1702,Educación General Básica y Bachillerato,Particular,14
2023-2024 Inicio,17H04190,PCEI SIGLO XXI,PICHINCHA,17,RUMIÑAHUI,1705,Bachillerato,Particular,32
2023-2024 Inicio,10H00587,PEDRO VICENTE MALDONADO,IMBABURA,10,IBARRA,1001,Educación General Básica y Bachillerato,Particular,120
2023-2024 Inicio,17H03618,SAN JUAN PABLO II,PICHINCHA,17,QUITO,1701,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,86
2023-2024 Inicio,17H02379,SIGLO XXI,PICHINCHA,17,RUMIÑAHUI,1705,Bachillerato,Particular,32
2023-2024 Inicio,17H04340,"U.E. FISCOMISIONAL JOSÉ MARÍA VÉLAZ, S.J.- IRFEYAL- MATRIZ",PICHINCHA,17,QUITO,1701,Bachillerato,Fiscomisional,64
2023-2024 Inicio,17H00469,UE PARTICULAR PCEI CASA DE LA CULTURA ECUATORIANA,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,27
2023-2024 Inicio,17H04396,UEP PCEI FIBONACCI,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,1
2023-2024 Inicio,02H00794,UNIDAD EDUCATIVA  PCEI  23 DE AGOSTO,BOLIVAR,2,GUARANDA,201,Educación General Básica y Bachillerato,Particular,11
2023-2024 Inicio,05H00258,UNIDAD EDUCATIVA  PCEI MONSEÑOR LEONIDAS PROAÑO,COTOPAXI,5,PANGUA,503,Educación General Básica y Bachillerato,Fiscomisional,12
2023-2024 Inicio,13H05166,UNIDAD EDUCATIVA A DISTANCIA RIOS DE AGUA VIVA,MANABI,13,MANTA,1308,Educación General Básica y Bachillerato,Particular,23
2023-2024 Inicio,17H04413,UNIDAD EDUCATIVA ARUPOS,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Fiscal,81
2023-2024 Inicio,17H04399,UNIDAD EDUCATIVA BENNARES,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,6
2023-2024 Inicio,13H04857,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAS SJ EXT 28 CHONE,MANABI,13,CHONE,1303,Educación General Básica y Bachillerato,Fiscomisional,4
2023-2024 Inicio,13H04858,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ EXT 30 FLAVIO ALFARO,MANABI,13,FLAVIO ALFARO,1305,Educación General Básica y Bachillerato,Fiscomisional,37
2023-2024 Inicio,13H04864,UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ EXT 86D LAS HABRAS,MANABI,13,CHONE,1303,Educación General Básica y Bachillerato,Fiscomisional,5
2023-2024 Inicio,05H00268,"UNIDAD EDUCATIVA FISCOMISIONAL JOSE MARIA VELAZ, SJ  IRFEYAL  EXTENSION 95-A-LA MANA",COTOPAXI,5,LA MANA,502,Bachillerato y Ofertas Intensivas,Fiscomisional,19
2023-2024 Inicio,08H00131,UNIDAD EDUCATIVA FISCOMISIONAL PCEI  MONSEÑOR LEONIDAS PROAÑO,ESMERALDAS,8,ESMERALDAS,801,Educación General Básica y Bachillerato,Fiscomisional,139
2023-2024 Inicio,01H00283,UNIDAD EDUCATIVA FISCOMISIONAL SEMIPRESENCIAL DEL AZUAY,AZUAY,1,CUENCA,101,"Educación General Básica, Bachillerato y Ofertas Intensivas",Fiscomisional,179
2023-2024 Inicio,01H01546,UNIDAD EDUCATIVA FISCOMISIONAL SEMIPRESENCIAL DEL AZUAY,AZUAY,1,CUENCA,101,Educación General Básica y Bachillerato,Fiscomisional,120
2023-2024 Inicio,09H06709,UNIDAD EDUCATIVA GUAYACANES,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Fiscal,67
2023-2024 Inicio,12H01902,UNIDAD EDUCATIVA LIBERTADOR,LOS RIOS,12,MOCACHE,1212,Educación General Básica y Bachillerato,Particular,20
2023-2024 Inicio,17H00832,UNIDAD EDUCATIVA MUNICIPAL SUCRE,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Municipal,64
2023-2024 Inicio,09H05396,UNIDAD EDUCATIVA NUEVA BALZAR,GUAYAS,9,BALZAR,904,Educación General Básica y Bachillerato,Particular,11
2023-2024 Inicio,05H00026,UNIDAD EDUCATIVA P C E I  ALBERT EISTEIN,COTOPAXI,5,LATACUNGA,501,Bachillerato y Ofertas Intensivas,Particular,1
2023-2024 Inicio,17H04411,UNIDAD EDUCATIVA PARTICULAR  NUEVO ECUADOR HIGH SCHOOL,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,18
2023-2024 Inicio,17H00614,"UNIDAD EDUCATIVA PARTICULAR ""JOSÉ MILLER SALAZAR""",PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,12
2023-2024 Inicio,09H06721,UNIDAD EDUCATIVA PARTICULAR 25 DE MARZO,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,6
2023-2024 Inicio,09H05932,UNIDAD EDUCATIVA PARTICULAR A DISTANCI KEVIN ROBERTS,GUAYAS,9,DURAN,907,Educación General Básica y Bachillerato,Particular,94
2023-2024 Inicio,13H04765,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA ANDINOS,MANABI,13,EL CARMEN,1304,Educación General Básica y Bachillerato,Particular,10
2023-2024 Inicio,09H05996,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA DR. LUIS ALFONSO SALTOS ESPINOZA,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,116
2023-2024 Inicio,15H00393,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA ECUADOR,NAPO,15,TENA,1501,Educación General Básica y Bachillerato,Particular,16
2023-2024 Inicio,13H04717,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA ELOY ALFARO,MANABI,13,EL CARMEN,1304,Educación General Básica y Bachillerato,Particular,135
2023-2024 Inicio,09H00507,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA HERMAN HESSE,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,58
2023-2024 Inicio,09H02135,UNIDAD EDUCATIVA PARTICULAR A DISTANCIA JUAN MONTALVO FIALLOS,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,109
2023-2024 Inicio,17H02739,UNIDAD EDUCATIVA PARTICULAR COMPUINFORMATICA,PICHINCHA,17,QUITO,1701,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,7
2023-2024 Inicio,09H04630,UNIDAD EDUCATIVA PARTICULAR CREAR,GUAYAS,9,SAMBORONDON,916,"Educación Inicial, Educación General Básica y Bachillerato",Particular,66
2023-2024 Inicio,09H06708,UNIDAD EDUCATIVA PARTICULAR CREAR        ,GUAYAS,9,SAMBORONDON,916,"Educación Inicial, Educación General Básica y Bachillerato",Particular,16
2023-2024 Inicio,17H04461,UNIDAD EDUCATIVA PARTICULAR CRISTO SALVADOR,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,24
2023-2024 Inicio,17H04426,UNIDAD EDUCATIVA PARTICULAR INN GENIUS,PICHINCHA,17,RUMIÑAHUI,1705,"Educación Inicial, Educación General Básica y Bachillerato",Particular,5
2023-2024 Inicio,17H04486,UNIDAD EDUCATIVA PARTICULAR INNOVAR,PICHINCHA,17,QUITO,1701,Bachillerato y Ofertas Intensivas,Particular,8
2023-2024 Inicio,17H04468,UNIDAD EDUCATIVA PARTICULAR INTIYAN  ,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,1
2023-2024 Inicio,17H04460,UNIDAD EDUCATIVA PARTICULAR JULIO CORTÁZAR,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,37
2023-2024 Inicio,09H05929,UNIDAD EDUCATIVA PARTICULAR PCEI A 8 DE MARZO,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,82
2023-2024 Inicio,09H06712,UNIDAD EDUCATIVA PARTICULAR PCEI A DISTANCIA MARTIN LUTHER KING ,GUAYAS,9,DURAN,907,Educación General Básica y Bachillerato,Particular,81
2023-2024 Inicio,09H06679,UNIDAD EDUCATIVA PARTICULAR PCEI A DISTANCIA SANTANDER,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,45
2023-2024 Inicio,17H04422,UNIDAD EDUCATIVA PARTICULAR PCEI ALTAVISTA,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,78
2023-2024 Inicio,09H06733,UNIDAD EDUCATIVA PARTICULAR PCEI ANDRES VESALIO,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,71
2023-2024 Inicio,17H01032,UNIDAD EDUCATIVA PARTICULAR PCEI CARLOS MONTUFAR,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,26
2023-2024 Inicio,17H04480,UNIDAD EDUCATIVA PARTICULAR PCEI CASA DE LA CULTURA ECUATORIANA ,PICHINCHA,17,QUITO,1701,Bachillerato y Ofertas Intensivas,Particular,1
2023-2024 Inicio,17H03699,UNIDAD EDUCATIVA PARTICULAR PCEI COMPUINFORMATICA,PICHINCHA,17,QUITO,1701,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,19
2023-2024 Inicio,17H03544,UNIDAD EDUCATIVA PARTICULAR PCEI DEL PACÍFICO,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,21
2023-2024 Inicio,17H00887,UNIDAD EDUCATIVA PARTICULAR PCEI ECUADOR,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,77
2023-2024 Inicio,17H03710,UNIDAD EDUCATIVA PARTICULAR PCEI ECUADOR,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,72
2023-2024 Inicio,17H00076,UNIDAD EDUCATIVA PARTICULAR PCEI EDUCACION SIGLO XXI,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,9
2023-2024 Inicio,17H04427,UNIDAD EDUCATIVA PARTICULAR PCEI EDUTEC,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,2
2023-2024 Inicio,17H04428,UNIDAD EDUCATIVA PARTICULAR PCEI EDUTEC,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,7
2023-2024 Inicio,17H04417,UNIDAD EDUCATIVA PARTICULAR PCEI EUGENE CERMAN,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,6
2023-2024 Inicio,17H04397,UNIDAD EDUCATIVA PARTICULAR PCEI FIBONACCI,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,1
2023-2024 Inicio,23H00333,UNIDAD EDUCATIVA PARTICULAR PCEI JACQUES COUSTEAU,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,Educación General Básica y Bachillerato,Particular,116
2023-2024 Inicio,17H03044,UNIDAD EDUCATIVA PARTICULAR PCEI JEAN PEAGET,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,7
2023-2024 Inicio,09H05533,UNIDAD EDUCATIVA PARTICULAR PCEI LIBERTADOR BOLÍVAR,GUAYAS,9,GUAYAQUIL,901,Bachillerato,Particular,18
2023-2024 Inicio,17H04453,UNIDAD EDUCATIVA PARTICULAR PCEI LIDERES,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,119
2023-2024 Inicio,09H06683,UNIDAD EDUCATIVA PARTICULAR PCEI PADRE JUAN DE VELASCO,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,28
2023-2024 Inicio,09H06158,UNIDAD EDUCATIVA PARTICULAR PCEI PROVINCIA DEL GUAYAS,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,58
2023-2024 Inicio,17H04108,UNIDAD EDUCATIVA PARTICULAR PCEI SECOMSYS,PICHINCHA,17,QUITO,1701,Bachillerato,Particular,26
2023-2024 Inicio,17H04356,UNIDAD EDUCATIVA PARTICULAR PCEI TECNOECUATORIANO,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,5
2023-2024 Inicio,01H01680,UNIDAD EDUCATIVA PARTICULAR PERPETUO SOCORRO,AZUAY,1,CUENCA,101,Educación General Básica y Bachillerato,Particular,25
2023-2024 Inicio,17H03562,UNIDAD EDUCATIVA PARTICULAR SAN FRANCISCO DE ASIS,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,5
2023-2024 Inicio,17H04420,UNIDAD EDUCATIVA PARTICULAR SAN JUAN BOSCO,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,12
2023-2024 Inicio,17H04447,UNIDAD EDUCATIVA PARTICULAR SAN MARTÍN,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,3
2023-2024 Inicio,02H00812,UNIDAD EDUCATIVA PCEI  INTERNACIONAL BOLIVAR,BOLIVAR,2,GUARANDA,201,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,12
2023-2024 Inicio,08H02179,UNIDAD EDUCATIVA PCEI  PARTICULAR DR EUGENIO ESPEJO,ESMERALDAS,8,QUININDE,804,Educación General Básica y Bachillerato,Particular,32
2023-2024 Inicio,09H05699,UNIDAD EDUCATIVA PCEI  PAUBLA TRINIDAD SANTANA GARCIA,GUAYAS,9,EL EMPALME,908,Educación General Básica y Bachillerato,Particular,23
2023-2024 Inicio,09H06689,UNIDAD EDUCATIVA PCEI A DISTANCIA RENACIMIENTO,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,7
2023-2024 Inicio,09H06017,UNIDAD EDUCATIVA PCEI AB. ELVIA MERCEDES SUAREZ SAN ANDRES DE HERRERA,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,12
2023-2024 Inicio,12H02618,UNIDAD EDUCATIVA PCEI BLAISE PASCAL,LOS RIOS,12,QUEVEDO,1205,Educación General Básica y Bachillerato,Particular,64
2023-2024 Inicio,18H00705,UNIDAD EDUCATIVA PCEI CADVRISH,TUNGURAHUA,18,AMBATO,1801,Bachillerato y Ofertas Intensivas,Particular,154
2023-2024 Inicio,18H01000,UNIDAD EDUCATIVA PCEI CHARLES DARWIN,TUNGURAHUA,18,AMBATO,1801,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,49
2023-2024 Inicio,02H00722,UNIDAD EDUCATIVA PCEI DE BOLIVAR  CAT SAN LUIS DE PAMBIL,BOLIVAR,2,GUARANDA,201,Educación General Básica y Bachillerato,Fiscomisional,12
2023-2024 Inicio,02H00304,UNIDAD EDUCATIVA PCEI DE BOLÍVAR EXTENSIÓN CHILLANES,BOLIVAR,2,CHILLANES,202,Educación General Básica y Bachillerato,Fiscomisional,29
2023-2024 Inicio,02H00726,UNIDAD EDUCATIVA PCEI DE BOLÍVAR EXTENSIÓN SAN JOSÉ DEL TAMBO,BOLIVAR,2,CHILLANES,202,Educación General Básica y Bachillerato,Fiscomisional,8
2023-2024 Inicio,18H00866,UNIDAD EDUCATIVA PCEI EL COSMOPOLITA,TUNGURAHUA,18,AMBATO,1801,Educación General Básica y Bachillerato,Particular,40
2023-2024 Inicio,16H00412,UNIDAD EDUCATIVA PCEI HARVARD,PASTAZA,16,PASTAZA,1601,Educación General Básica y Bachillerato,Particular,47
2023-2024 Inicio,06H01703,UNIDAD EDUCATIVA PCEI JOSE MARIA VELAZ,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Fiscomisional,29
2023-2024 Inicio,06H00361,UNIDAD EDUCATIVA PCEI JOSE MARIA VELAZ - LICTO,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Fiscomisional,4
2023-2024 Inicio,18H00127,UNIDAD EDUCATIVA PCEI JUAN DELFIN FONSECA,TUNGURAHUA,18,AMBATO,1801,Educación General Básica y Bachillerato,Particular,68
2023-2024 Inicio,16H00048,UNIDAD EDUCATIVA PCEI LATINOAMERICA,PASTAZA,16,PASTAZA,1601,Bachillerato y Ofertas Intensivas,Particular,88
2023-2024 Inicio,18H00130,UNIDAD EDUCATIVA PCEI MIGUEL DE CERVANTES,TUNGURAHUA,18,AMBATO,1801,Educación General Básica y Bachillerato,Particular,80
2023-2024 Inicio,02H00653,UNIDAD EDUCATIVA PCEI MONSEÑOR LEONIDAS PROAÑO - CALUMA,BOLIVAR,2,CALUMA,206,Educación General Básica y Bachillerato,Fiscomisional,9
2023-2024 Inicio,06H01931,UNIDAD EDUCATIVA PCEI NUEVO AMANECER,CHIMBORAZO,6,RIOBAMBA,601,Educación General Básica y Bachillerato,Particular,1
2023-2024 Inicio,18H00998,UNIDAD EDUCATIVA PCEI PCEI AMAZONAS,TUNGURAHUA,18,AMBATO,1801,Educación General Básica y Bachillerato,Particular,18
2023-2024 Inicio,17H00866,UNIDAD EDUCATIVA PCEI PRIMERO DE MAYO,PICHINCHA,17,QUITO,1701,Bachillerato y Ofertas Intensivas,Particular,15
2023-2024 Inicio,24H00362,UNIDAD EDUCATIVA PCEI PROF. ERNESTO GONZALEZ MUÑOZ,SANTA ELENA,24,LA LIBERTAD,2402,Bachillerato,Particular,153
2023-2024 Inicio,09H05539,UNIDAD EDUCATIVA PCEI SIMON BOLIVAR,GUAYAS,9,EL TRIUNFO,909,Educación General Básica y Bachillerato,Particular,54
2023-2024 Inicio,18H00126,UNIDAD EDUCATIVA PCEI STEPHEN HAWKING,TUNGURAHUA,18,AMBATO,1801,Bachillerato y Ofertas Intensivas,Particular,94
2023-2024 Inicio,17H04113,ECO. JOSE MONCADA SANCHEZ,PICHINCHA,17,RUMIÑAHUI,1705,Educación General Básica y Bachillerato,Particular,11
2023-2024 Inicio,17H04112,ECO. JOSé MONCADA SáNCHEZ,PICHINCHA,17,RUMIÑAHUI,1705,Educación General Básica y Bachillerato,Particular,8
2023-2024 Inicio,17H03305,UNIDAD EDUCATIVA PARTICULAR IBEROAMERICANO,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,28
2023-2024 Inicio,17H03286,UNIDAD EDUCATIVA PCEI PARTICULAR IBEROAMERICANO,PICHINCHA,17,QUITO,1701,"Educación General Básica, Bachillerato y Ofertas Intensivas",Particular,29
2023-2024 Inicio,17H04429,UNIDAD EDUCATIVA PARTICULAR EDUKASA LEARNING TOGETHER,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,1
2023-2024 Inicio,17H04467,UNIDAD EDUCATIVA PARTICULAR GENERACIÓN ALFA,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,1
2023-2024 Inicio,17H04406,UNIDAD EDUCATIVA PARTICULAR MARVIN MINSKY,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,2
2023-2024 Inicio,22H00067,UNIDAD EDUCATIVA PARTICULAR PCEI RAFAEL GALETH,ORELLANA,22,ORELLANA,2201,Educación General Básica y Bachillerato,Particular,296
2023-2024 Inicio,17H00793,10 DE AGOSTO,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,56
2023-2024 Inicio,17H01251,11 DE MARZO,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Fiscal,72
2023-2024 Inicio,17H00178,11 DE OCTUBRE,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,21
2023-2024 Inicio,22H00291,12 DE FEBRERO,ORELLANA,22,LA JOYA DE LOS SACHAS,2203,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,301
2023-2024 Inicio,18H00619,12 DE NOVIEMBRE,TUNGURAHUA,18,SANTIAGO DE PILLARO,1808,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,77
2023-2024 Inicio,17H01035,15 DE DICIEMBRE,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Fiscal,202
2023-2024 Inicio,13H00297,18 DE OCTUBRE,MANABI,13,PORTOVIEJO,1301,Educación General Básica y Bachillerato,Fiscal,72
2023-2024 Inicio,17H01514,2 DE AGOSTO,PICHINCHA,17,MEJIA,1703,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,151
2023-2024 Inicio,17H02107,24 DE JULIO,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,53
2023-2024 Inicio,17H00316,24 DE MAYO,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Fiscal,583
2023-2024 Inicio,22H00327,24 DE OCTUBRE,ORELLANA,22,LA JOYA DE LOS SACHAS,2203,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,40
2023-2024 Inicio,13H00594,25 DE MAYO,MANABI,13,PORTOVIEJO,1301,Educación General Básica y Bachillerato,Fiscal,122
2023-2024 Inicio,13H02983,27 DE OCTUBRE,MANABI,13,PAJAN,1310,"Educación Inicial, Educación General Básica, Bachillerato y Ofertas Intensivas",Fiscal,105
2023-2024 Inicio,12H01018,28 DE MAYO,LOS RIOS,12,URDANETA,1206,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,36
2023-2024 Inicio,17B00213,29 DE OCTUBRE,PICHINCHA,17,CAYAMBE,1702,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,36
2023-2024 Inicio,22H00305,30 DE ABRIL,ORELLANA,22,LA JOYA DE LOS SACHAS,2203,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,81
2023-2024 Inicio,17H01571,ABDON CALDERON,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Fiscal,247
2023-2024 Inicio,13H01860,ABDON CALDERON  MUÑOZ,MANABI,13,JIPIJAPA,1306,Educación General Básica y Bachillerato,Fiscal,8
2023-2024 Inicio,13H05420,ABELARDO MONCAYO,MANABI,13,PAJAN,1310,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,3
2023-2024 Inicio,10H00352,ABELARDO MORAN MUÑOZ,IMBABURA,10,COTACACHI,1003,Educación General Básica y Bachillerato,Fiscal,6
2023-2024 Inicio,21H00693,ABOGADO JUAN BENIGNO VELA HERVAS,SUCUMBIOS,21,CASCALES,2106,"Educación Inicial, Educación General Básica, Bachillerato y Ofertas Intensivas",Fiscal,46
2023-2024 Inicio,17H03604,ACADEMIA AERONAUTICA MAYOR PEDRO TRAVERSARI N 2,PICHINCHA,17,RUMIÑAHUI,1705,"Educación Inicial, Educación General Básica y Bachillerato",Particular,60
2023-2024 Inicio,10H00017,ACADEMIA MILITAR SAN DIEGO,IMBABURA,10,IBARRA,1001,"Educación Inicial, Educación General Básica y Bachillerato",Particular,74
2023-2024 Inicio,22H00260,AGOYAN,ORELLANA,22,LA JOYA DE LOS SACHAS,2203,"Educación Inicial, Educación General Básica y Bachillerato",Fiscal,44
2023-2024 Inicio,17H01448,ALANGASI,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Fiscal,229
2023-2024 Inicio,13H03195,ALBERTINA RIVAS MEDINA,MANABI,13,SANTA ANA,1313,"Educación Inicial, Educación General Básica, Bachillerato y Ofertas Intensivas",Fiscal,263
2023-2024 Inicio,17H03316,ALBERTO EINSTEIN,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,33
