anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes
2023-2024 Inicio,09H00138,UNIDAD EDUCATIVA PARTICULAR SAN LUIS REY DE FRANCIA,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,72
2023-2024 Inicio,17H00400,UNIDAD EDUCATIVA PARTICULAR SAN MARINO,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,14
2023-2024 Inicio,17H03052,UNIDAD EDUCATIVA PARTICULAR SAN MARTÍN,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,17
2023-2024 Inicio,23H00601,UNIDAD EDUCATIVA PARTICULAR SAN PEDRO DEL VALLE HERMOSO,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,"Educación Inicial, Educación General Básica y Bachillerato",Particular,22
2023-2024 Inicio,17H00804,UNIDAD EDUCATIVA PARTICULAR SAN PEDRO PASCUAL,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,51
2023-2024 Inicio,09H01161,UNIDAD EDUCATIVA PARTICULAR SANTA ANA,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,77
2023-2024 Inicio,13H03192,UNIDAD EDUCATIVA PARTICULAR SANTA ANA,MANABI,13,SANTA ANA,1313,"Educación Inicial, Educación General Básica y Bachillerato",Particular,17
2023-2024 Inicio,17H00555,UNIDAD EDUCATIVA PARTICULAR SANTA DOROTEA,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,97
2023-2024 Inicio,07H00073,UNIDAD EDUCATIVA PARTICULAR SANTA MARIA,EL ORO,7,MACHALA,701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,47
2023-2024 Inicio,17H01173,UNIDAD EDUCATIVA PARTICULAR SANTA MARIA D MAZZARELLO,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,83
2023-2024 Inicio,01H01452,UNIDAD EDUCATIVA PARTICULAR SANTA MARIA DE LA ESPERANZA,AZUAY,1,CHORDELEG,111,"Educación Inicial, Educación General Básica y Bachillerato",Particular,25
2023-2024 Inicio,09H00078,UNIDAD EDUCATIVA PARTICULAR SANTA MARIA DE LOS ANGELES,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,88
2023-2024 Inicio,17H00220,UNIDAD EDUCATIVA PARTICULAR SANTA MARÍA EUFRASIA,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,144
2023-2024 Inicio,09H01926,UNIDAD EDUCATIVA PARTICULAR SANTA MARIA GORETTI,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,81
2023-2024 Inicio,09H00014,UNIDAD EDUCATIVA PARTICULAR SANTA MARIANA DE JESUS,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,65
2023-2024 Inicio,11H00053,UNIDAD EDUCATIVA PARTICULAR SANTA MARIANA DE JESUS,LOJA,11,LOJA,1101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,91
2023-2024 Inicio,17H03319,UNIDAD EDUCATIVA PARTICULAR SANTA MARIANA DE JESUS,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,52
2023-2024 Inicio,01H00172,UNIDAD EDUCATIVA PARTICULAR SANTA MARIANA DE JESÚS,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,119
2023-2024 Inicio,09H01176,UNIDAD EDUCATIVA PARTICULAR SANTA PAULA,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,2
2023-2024 Inicio,07H01038,UNIDAD EDUCATIVA PARTICULAR SANTA TERESITA,EL ORO,7,SANTA ROSA,712,Educación General Básica y Bachillerato,Particular,65
2023-2024 Inicio,01H00300,UNIDAD EDUCATIVA PARTICULAR SANTANA,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,44
2023-2024 Inicio,01H00771,UNIDAD EDUCATIVA PARTICULAR SANTIAGO DE COMPOSTELA,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,25
2023-2024 Inicio,09H02450,UNIDAD EDUCATIVA PARTICULAR SANTIAGO DE LAS PRADERAS,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,51
2023-2024 Inicio,21H00883,UNIDAD EDUCATIVA PARTICULAR SANTIAGO DE QUITO,SUCUMBIOS,21,SHUSHUFINDI,2104,"Educación Inicial, Educación General Básica y Bachillerato",Particular,28
2023-2024 Inicio,22H00107,UNIDAD EDUCATIVA PARTICULAR SANTIAGO DE QUITO,ORELLANA,22,ORELLANA,2201,"Educación Inicial, Educación General Básica y Bachillerato",Particular,30
2023-2024 Inicio,07H00827,UNIDAD EDUCATIVA PARTICULAR SANTISIMOS CORAZONES,EL ORO,7,PASAJE,709,"Educación Inicial, Educación General Básica y Bachillerato",Particular,32
2023-2024 Inicio,01H01020,UNIDAD EDUCATIVA PARTICULAR SANTO DOMINGO DE GUZMAN,AZUAY,1,GUALACEO,103,"Educación Inicial, Educación General Básica y Bachillerato",Particular,74
2023-2024 Inicio,09H01340,UNIDAD EDUCATIVA PARTICULAR SANTO DOMINGO DE GUZMAN,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,107
