anio,cod_provincia,provincia,cod_canton,canton,ciiu,vab_miles_usd
2023,1.0,AZUAY,104.0,NABÓN,ENSEÑANZA,2363430.0
2023,1.0,AZUAY,104.0,NABÓN,SALUD,216900.0
2023,1.0,AZUAY,104.0,NABÓN,OTROS SERVICIOS,232660.0
2023,1.0,AZUAY,104.0,NABÓN,ECONOMÍA TOTAL,23248300.0
2023,1.0,AZUAY,105.0,PAUTE,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",16045020.0
2023,1.0,AZUAY,105.0,PAUTE,EXPLOTACIÓN DE MINAS Y CANTERAS,957620.0
2023,1.0,AZUAY,105.0,PAUTE,MANUFACTURA,1772620.0
2023,1.0,AZUAY,105.0,PAUTE,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,1037160.0000000001
2023,1.0,AZUAY,105.0,PAUTE,CONSTRUCCIÓN,3615040.0
2023,1.0,AZUAY,105.0,PAUTE,COMERCIO,7080190.0
2023,1.0,AZUAY,105.0,PAUTE,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",3240380.0
2023,1.0,AZUAY,105.0,PAUTE,ALOJAMIENTO Y SERVICIOS DE COMIDA,901630.0
2023,1.0,AZUAY,105.0,PAUTE,ACTIVIDADES FINANCIERAS,6189560.0
2023,1.0,AZUAY,105.0,PAUTE,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,4290680.0
2023,1.0,AZUAY,105.0,PAUTE,ADMINISTRACIÓN PÚBLICA,11853880.0
2023,1.0,AZUAY,105.0,PAUTE,ENSEÑANZA,5122430.0
2023,1.0,AZUAY,105.0,PAUTE,SALUD,1634850.0
2023,1.0,AZUAY,105.0,PAUTE,OTROS SERVICIOS,568350.0
2023,1.0,AZUAY,105.0,PAUTE,ECONOMÍA TOTAL,64309410.0
2023,1.0,AZUAY,106.0,PUCARÁ,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",1775410.0
2023,1.0,AZUAY,106.0,PUCARÁ,EXPLOTACIÓN DE MINAS Y CANTERAS,33240.0
2023,1.0,AZUAY,106.0,PUCARÁ,MANUFACTURA,18450.0
2023,1.0,AZUAY,106.0,PUCARÁ,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,16985190.0
2023,1.0,AZUAY,106.0,PUCARÁ,CONSTRUCCIÓN,468590.0
2023,1.0,AZUAY,106.0,PUCARÁ,COMERCIO,755810.0
2023,1.0,AZUAY,106.0,PUCARÁ,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",1136940.0
2023,1.0,AZUAY,106.0,PUCARÁ,ALOJAMIENTO Y SERVICIOS DE COMIDA,170610.0
2023,1.0,AZUAY,106.0,PUCARÁ,ACTIVIDADES FINANCIERAS,887840.0
2023,1.0,AZUAY,106.0,PUCARÁ,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,353520.0
2023,1.0,AZUAY,106.0,PUCARÁ,ADMINISTRACIÓN PÚBLICA,4062500.0
2023,1.0,AZUAY,106.0,PUCARÁ,ENSEÑANZA,1637490.0
2023,1.0,AZUAY,106.0,PUCARÁ,SALUD,45350.0
2023,1.0,AZUAY,106.0,PUCARÁ,OTROS SERVICIOS,119220.0
2023,1.0,AZUAY,106.0,PUCARÁ,ECONOMÍA TOTAL,28450160.0
