provincia,anio,ciiu,total_vab_miles_usd
AZUAY,2023,CONSTRUCCIÓN,349684810.0
AZUAY,2023,ECONOMÍA TOTAL,5003714790.0
AZUAY,2023,ENSEÑANZA,255859930.0
AZUAY,2023,EXPLOTACIÓN DE MINAS Y CANTERAS,295611940.0
AZUAY,2023,MANUFACTURA,885927800.0
AZUAY,2023,OTROS SERVICIOS,96351710.0
AZUAY,2023,SALUD,288861250.0
AZUAY,2023,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,245924010.0
AZUAY,2023,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",238595000.0
AZUAY,2024,ACTIVIDADES FINANCIERAS,466394390.0
AZUAY,2024,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,637421290.0
AZUAY,2024,ADMINISTRACIÓN PÚBLICA,472578640.0
AZUAY,2024,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",112363660.0
AZUAY,2024,ALOJAMIENTO Y SERVICIOS DE COMIDA,104556080.0
AZUAY,2024,COMERCIO,898841060.0
AZUAY,2024,CONSTRUCCIÓN,332907170.0
AZUAY,2024,ECONOMÍA TOTAL,5331094910.0
AZUAY,2024,ENSEÑANZA,304241330.0
AZUAY,2024,EXPLOTACIÓN DE MINAS Y CANTERAS,254856120.0
AZUAY,2024,MANUFACTURA,824931500.0
AZUAY,2024,OTROS SERVICIOS,102064490.0
AZUAY,2024,SALUD,278940960.0
AZUAY,2024,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,297932650.0
AZUAY,2024,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",243065570.0
BOLÍVAR,2018,ACTIVIDADES FINANCIERAS,23014970.0
BOLÍVAR,2018,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,22956480.0
BOLÍVAR,2018,ADMINISTRACIÓN PÚBLICA,83436680.0
BOLÍVAR,2018,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",112613790.0
BOLÍVAR,2018,ALOJAMIENTO Y SERVICIOS DE COMIDA,2570780.0
BOLÍVAR,2018,COMERCIO,37456630.0
BOLÍVAR,2018,CONSTRUCCIÓN,21320610.0
BOLÍVAR,2018,ECONOMÍA TOTAL,416237960.0
BOLÍVAR,2018,ENSEÑANZA,61201740.0
BOLÍVAR,2018,EXPLOTACIÓN DE MINAS Y CANTERAS,145660.0
BOLÍVAR,2018,MANUFACTURA,5970400.0
BOLÍVAR,2018,OTROS SERVICIOS,7131910.0
BOLÍVAR,2018,SALUD,16427730.0
BOLÍVAR,2018,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,5549200.0
BOLÍVAR,2018,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",16441380.0
BOLÍVAR,2019,ACTIVIDADES FINANCIERAS,23659160.0
BOLÍVAR,2019,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,17564360.0
BOLÍVAR,2019,ADMINISTRACIÓN PÚBLICA,78081350.0
BOLÍVAR,2019,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",118650670.0
BOLÍVAR,2019,ALOJAMIENTO Y SERVICIOS DE COMIDA,2852940.0
BOLÍVAR,2019,COMERCIO,38550950.0
BOLÍVAR,2019,CONSTRUCCIÓN,21470980.0
BOLÍVAR,2019,ECONOMÍA TOTAL,413973610.0
BOLÍVAR,2019,ENSEÑANZA,59835290.0
BOLÍVAR,2019,EXPLOTACIÓN DE MINAS Y CANTERAS,359200.0
BOLÍVAR,2019,MANUFACTURA,5547000.0
BOLÍVAR,2019,OTROS SERVICIOS,8202510.0
BOLÍVAR,2019,SALUD,15220970.0
BOLÍVAR,2019,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,6312440.0
BOLÍVAR,2019,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",17665790.0
BOLÍVAR,2020,ACTIVIDADES FINANCIERAS,22108920.0
BOLÍVAR,2020,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,16881280.0
BOLÍVAR,2020,ADMINISTRACIÓN PÚBLICA,82983590.0
BOLÍVAR,2020,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",137595150.0
BOLÍVAR,2020,ALOJAMIENTO Y SERVICIOS DE COMIDA,1607190.0
BOLÍVAR,2020,COMERCIO,29959440.0
BOLÍVAR,2020,CONSTRUCCIÓN,16701080.0
BOLÍVAR,2020,ECONOMÍA TOTAL,407562660.0
BOLÍVAR,2020,ENSEÑANZA,52292610.0
BOLÍVAR,2020,EXPLOTACIÓN DE MINAS Y CANTERAS,679470.0
BOLÍVAR,2020,MANUFACTURA,4962420.0
BOLÍVAR,2020,OTROS SERVICIOS,5605930.0
BOLÍVAR,2020,SALUD,17294080.0
BOLÍVAR,2020,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,5822950.0
BOLÍVAR,2020,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",13068550.0
BOLÍVAR,2021,ACTIVIDADES FINANCIERAS,25551570.0
BOLÍVAR,2021,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,19209550.0
BOLÍVAR,2021,ADMINISTRACIÓN PÚBLICA,78489930.0
BOLÍVAR,2021,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",135180080.0
BOLÍVAR,2021,ALOJAMIENTO Y SERVICIOS DE COMIDA,1951070.0
BOLÍVAR,2021,COMERCIO,38706060.0
BOLÍVAR,2021,CONSTRUCCIÓN,19414740.0
BOLÍVAR,2021,ECONOMÍA TOTAL,415758410.0
BOLÍVAR,2021,ENSEÑANZA,52768780.0
BOLÍVAR,2021,EXPLOTACIÓN DE MINAS Y CANTERAS,1464950.0
BOLÍVAR,2021,MANUFACTURA,4583640.0
BOLÍVAR,2021,OTROS SERVICIOS,6722970.0
BOLÍVAR,2021,SALUD,13042570.0
BOLÍVAR,2021,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,6022150.0
BOLÍVAR,2021,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",12650350.0
BOLÍVAR,2022,ACTIVIDADES FINANCIERAS,31941400.0
BOLÍVAR,2022,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,19669740.0
BOLÍVAR,2022,ADMINISTRACIÓN PÚBLICA,87214400.0
BOLÍVAR,2022,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",148456540.0
BOLÍVAR,2022,ALOJAMIENTO Y SERVICIOS DE COMIDA,2197420.0
BOLÍVAR,2022,COMERCIO,39376000.0
BOLÍVAR,2022,CONSTRUCCIÓN,23956810.0
BOLÍVAR,2022,ECONOMÍA TOTAL,465260220.0
BOLÍVAR,2022,ENSEÑANZA,63149630.0
BOLÍVAR,2022,EXPLOTACIÓN DE MINAS Y CANTERAS,1738420.0
BOLÍVAR,2022,MANUFACTURA,4172270.0
BOLÍVAR,2022,OTROS SERVICIOS,6914200.0
BOLÍVAR,2022,SALUD,15402520.0
BOLÍVAR,2022,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,5734820.0
BOLÍVAR,2022,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",15336050.0
BOLÍVAR,2023,ACTIVIDADES FINANCIERAS,35297820.0
BOLÍVAR,2023,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,16955480.0
BOLÍVAR,2023,ADMINISTRACIÓN PÚBLICA,35058890.0
BOLÍVAR,2023,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",188245080.0
BOLÍVAR,2023,ALOJAMIENTO Y SERVICIOS DE COMIDA,893980.0
BOLÍVAR,2023,COMERCIO,43228370.0
BOLÍVAR,2023,CONSTRUCCIÓN,31083100.0
BOLÍVAR,2023,ECONOMÍA TOTAL,474611750.0
BOLÍVAR,2023,ENSEÑANZA,68562760.0
BOLÍVAR,2023,EXPLOTACIÓN DE MINAS Y CANTERAS,1102050.0
BOLÍVAR,2023,MANUFACTURA,6116820.0
BOLÍVAR,2023,OTROS SERVICIOS,9985910.0
BOLÍVAR,2023,SALUD,17233850.0
BOLÍVAR,2023,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,5247410.0
